,English Name,French Name
0,Canada Investment and Savings,Placements Épargne Canada
1,Canada Revenue Agency,Agence du revenu du Canada
2,Canadian Energy Regulator,Régie canadienne de l’énergie
3,Canadian Food Inspection Agency,Agence canadienne d’inspection des aliments
4,Canadian High Arctic Research Station,Station canadienne de recherche dans l’Extrême-Arctique
5,Canadian Institutes of Health Research,Instituts de recherche en santé du Canada
6,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire
7,Canadian Security Intelligence Service,Service canadien du renseignement de sécurité
8,Communications Security Establishment,Centre de la sécurité des télécommunications
9,Financial Consumer Agency of Canada,Agence de la consommation en matière financière du Canada
10,Financial Transactions and Reports Analysis Centre of Canada,Centre d’analyse des opérations et déclarations financières du Canada
11,Indian Oil and Gas Canada,Pétrole et gaz des Indiens Canada
12,Invest in Canada Hub,Investir au Canada
13,National Capital Commission,Commission de la capitale nationale
14,National Film Board,Office national du film
15,National Research Council of Canada,Conseil national de recherches du Canada
16,National Security and Intelligence Review Agency Secretariat,Secrétariat de l’Office de surveillance des activités en matière de sécurité nationale et de renseignement
17,Natural Sciences and Engineering Research Council,Conseil de recherches en sciences naturelles et en génie
18,Northern Pipeline Agency,Administration du pipe-line du Nord
19,Office of the Auditor General of Canada,Bureau du vérificateur général du Canada
20,Office of the Correctional Investigator of Canada,Bureau de l’enquêteur correctionnel du Canada
21,Office of the Intelligence Commissioner,Bureau du commissaire au renseignement
22,Office of the Superintendent of Financial Institutions,Bureau du surintendant des institutions financières
23,Parks Canada Agency,Agence Parcs Canada
24,Social Sciences and Humanities Research Council,Conseil de recherches en sciences humaines
25,"Staff of the Non-Public Funds, Canadian Forces","Personnel des fonds non publics, Forces canadiennes"
